show_id,type,title,director,country,release_year,rating,listed_in,description
s260,Movie,Pahuna,Paakhi Tyrewala,"India, Nepal",2018,TV-PG,"Comedies, Dramas, International Movies","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
s261,TV Show,The Defeated,,,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city."
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,,2021,TV-14,"Comedies, International Movies, Romantic Movies","Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
s263,Movie,Untold: Deal With the Devil,Laura Brownson,,2021,TV-MA,"Documentaries, LGBTQ Movies, Sports Movies","Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life."
s264,TV Show,Mother Goose Club,,United States,2016,TV-Y,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.
s265,Movie,Walk of Shame,Steve Brill,United States,2014,R,"Comedies, Independent Movies","After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime."
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,,Japan,2018,TV-14,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai."
s267,TV Show,The Creative Indians,,India,2020,TV-MA,"Docuseries, International TV Shows","From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys."
s268,Movie,The Piano,Jane Campion,"New Zealand, Australia, France, United States",1993,R,"Classic Movies, Dramas, Independent Movies","With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her."
s269,Movie,Unroyal,Moses Inwang,,2020,TV-MA,"Dramas, International Movies","When a rude and arrogant princess finds herself relying on a gatekeeper after a terrible accident, it may be enough to make her change her ways."
s270,TV Show,Winx Club,,Italy,2015,TV-Y7,Kids' TV,"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension."""
s271,Movie,Beckett,Ferdinando Cito Filomarino,"Italy, Brazil, Greece",2021,TV-MA,Action & Adventure,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
s272,TV Show,Brand New Cherry Flavor,,United States,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries","A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens."
s273,TV Show,Fast & Furious Spy Racers,,United States,2021,TV-Y7,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.
s274,TV Show,Gone for Good,Juan Carlos Medina,France,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
s275,TV Show,Grace and Frankie,,United States,2021,TV-MA,"TV Comedies, TV Dramas","They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
s276,TV Show,The Kingdom,,Argentina,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems."
s277,TV Show,Valeria,Inma Torrente,Spain,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
s278,TV Show,AlRawabi School for Girls,,Jordan,2021,TV-14,"International TV Shows, TV Dramas, Teen TV Shows",The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.
s279,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,2021,TV-MA,Stand-Up Comedy,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
s280,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,"United States, Japan",2021,TV-PG,"Action & Adventure, Anime Features, Children & Family Movies","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
s281,TV Show,Bake Squad,,United States,2021,TV-PG,Reality TV,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.
s282,Movie,Brother Jekwu,Charles Uwagbai,Nigeria,2016,TV-14,"Comedies, International Movies","Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
s283,Movie,La diosa del asfalto,Julián Hernández,Mexico,2020,TV-MA,"Dramas, Independent Movies, International Movies","A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past."
s284,Movie,Misha and the Wolves,Sam Hobkinson,"Belgium, United Kingdom",2021,PG-13,"Documentaries, International Movies","As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
s285,Movie,The Kissing Booth 3,Vince Marcello,"United Kingdom, United States",2021,TV-14,"Comedies, Romantic Movies","Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
s286,Movie,The Railway Man,Jonathan Teplitzky,"Switzerland, United Kingdom, Australia",2013,R,"Dramas, International Movies","Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus."
s287,TV Show,Gabby's Dollhouse,,United States,2021,TV-Y,Kids' TV,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures."
s288,TV Show,I Need Romance,Sakon Tiacharoen,,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love."
s289,TV Show,Las muñecas de la mafia,,Colombia,2018,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia."
s290,TV Show,The Crowned Clown,,South Korea,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people."
s291,Movie,Untold: Malice at the Palace,Floyd Russ,United States,2021,TV-MA,"Documentaries, Sports Movies","Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."
s292,TV Show,SHAMAN KING,,Japan,2021,TV-14,"Anime Series, International TV Shows","Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King."
s293,Movie,Quartet,Dustin Hoffman,United Kingdom,2012,PG-13,"Comedies, Dramas, Independent Movies","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
s294,Movie,Slay,Adze Ugah,South Africa,2021,TV-MA,"Comedies, International Movies, Romantic Movies","In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,,2020,TV-PG,"International Movies, Music & Musicals","Superstar Hideaki Takizawa reimagines his acclaimed kabuki production for the screen, featuring the dynamic talents of idol group Snow Man."
s296,Movie,The Paper Tigers,Quoc Bao Tran,United States,2021,PG-13,"Action & Adventure, Comedies","After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
s297,TV Show,Hit & Run,,"Israel, United States",2021,TV-MA,"TV Action & Adventure, TV Dramas, TV Mysteries",A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
s298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India,2021,TV-MA,TV Shows,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series."
s299,Movie,Quam's Money,Kayode Kasum,Nigeria,2020,TV-MA,"Comedies, Dramas, International Movies","In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
s300,Movie,The Swarm,Just Philippot,France,2021,TV-14,"Horror Movies, Independent Movies, International Movies","A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
s301,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords","Canada, United States",2021,PG,"Children & Family Movies, Music & Musicals",A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
s302,Movie,Chennai Express,Rohit Shetty,India,2013,TV-14,"Action & Adventure, Comedies, International Movies",What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2013,TV-MA,"Documentaries, International Movies","A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
s304,Movie,Esperando la carroza,Alejandro Doria,Argentina,1985,TV-MA,"Comedies, Cult Movies, International Movies",Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,2021,TV-14,Documentaries,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
s306,Movie,Tango Feroz,Marcelo Piñeyro,"Argentina, Spain",1993,TV-MA,"Classic Movies, Dramas, International Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
s307,Movie,'76,Izu Ojukwu,Nigeria,2016,TV-PG,"Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events."
s308,Movie,Aftermath,Peter Winther,United States,2021,TV-MA,Horror Movies,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
s309,Movie,American Masters: Inventing David Geffen,Susan Lacy,United States,2012,TV-MA,Movies,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America."
s310,TV Show,Car Masters: Rust to Riches,,,2021,TV-PG,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
s311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,2021,TV-MA,"Crime TV Shows, Docuseries",Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.
s312,TV Show,Control Z,,Mexico,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas","When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
s313,TV Show,Cooking With Paris,,United States,2021,TV-MA,Reality TV,"With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show."
s314,TV Show,Autumn's Concerto,,Taiwan,2009,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son."
s315,Movie,Heavy,James Mangold,United States,1995,R,"Dramas, Independent Movies, Romantic Movies",Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation.
s316,Movie,Ije: The Journey,Chineze Anyaene,"United States, Nigeria",2010,TV-MA,"Dramas, International Movies","When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom."
s317,TV Show,Office Girls,Hsu Fu-chun,Taiwan,2011,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
s318,Movie,Pray Away,Kristine Stolakis,United States,2021,PG-13,"Documentaries, LGBTQ Movies","Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence."
s319,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",,2021,TV-MA,"Documentaries, International Movies","Max S. reveals how he built a drug empire from his childhood bedroom in this story that inspired the series ""How to Sell Drugs Online (Fast)."""
s320,TV Show,The Prince Who Turns into a Frog,,Taiwan,2005,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead."
s321,TV Show,Top Secret UFO Projects: Declassified,,,2021,TV-PG,Docuseries,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty."
s322,TV Show,Two Fathers,,Taiwan,2013,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family."
s323,TV Show,You're My Destiny,,Taiwan,2008,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies","A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down."
s324,TV Show,30 Rock,,United States,2012,TV-14,TV Comedies,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.
s325,TV Show,44 Cats,,Italy,2020,TV-Y7,Kids' TV,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together."
s326,Movie,Beethoven,Brian Levant,United States,1992,PG,"Children & Family Movies, Comedies","A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
s327,Movie,Beethoven's 2nd,Rod Daniel,United States,1993,PG,"Children & Family Movies, Comedies","After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies."
s328,Movie,Beowulf,Robert Zemeckis,"United States, United Kingdom",2007,PG-13,"Action & Adventure, Sci-Fi & Fantasy",This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.
s329,Movie,Boyka: Undisputed,Todor Chapkanov,"Bulgaria, United States",2016,R,Action & Adventure,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.
s330,Movie,Catch Me If You Can,Steven Spielberg,"United States, Canada",2002,PG-13,Dramas,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit."
s331,Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","United States, Canada",2009,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
s332,TV Show,Darwin’s Game,,,2020,TV-MA,"Anime Series, International TV Shows, TV Thrillers",High schooler Kaname activates a mysterious mobile app and unwittingly joins a game pitting players with supernatural abilities against each other.
s333,Movie,Deep Blue Sea,Renny Harlin,"United States, Mexico",1999,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.
s334,Movie,Ferris Bueller's Day Off,John Hughes,United States,1986,PG-13,"Classic Movies, Comedies, Cult Movies","After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."
s335,Movie,Five Feet Apart,Justin Baldoni,United States,2019,PG-13,"Dramas, Romantic Movies",A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.
s336,Movie,Freedomland,Joe Roth,United States,2006,R,"Dramas, Thrillers","When a woman reports that her infant son was kidnapped by a black man, an African American detective and a white activist team up to dig for details."
s337,TV Show,Friday Night Lights,,,2010,TV-14,"TV Dramas, Teen TV Shows",Eric Taylor faces enormous pressure when he signs on as the new coach of a small-town Texas football team that's poised to win the state championship.
s338,Movie,Good Luck Chuck,Mark Helfrich,"United States, Canada",2007,R,"Comedies, Romantic Movies","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."
s339,TV Show,Hunter X Hunter (2011),,Japan,2014,TV-14,"Anime Series, International TV Shows","To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
s340,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",,2021,TV-14,"Dramas, Independent Movies, International Movies",A workaholic reconnects with two men she blocked on social media five years ago and begins to reflect on her past life choices.
s341,Movie,Inception,Christopher Nolan,"United States, United Kingdom",2010,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
s342,Movie,Magnolia,Paul Thomas Anderson,United States,1999,R,"Dramas, Independent Movies","Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California."
s343,Movie,Major Payne,Nick Castle,United States,1995,PG-13,Comedies,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.
s344,Movie,My Girl,Howard Zieff,United States,1991,PG-13,Dramas,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.
s345,Movie,My Girl 2,Howard Zieff,United States,1994,PG,"Children & Family Movies, Comedies, Dramas",A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.
s346,Movie,Open Season: Scared Silly,David Feiss,"United States, Canada",2015,PG,"Children & Family Movies, Comedies","When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
s347,Movie,Pineapple Express,David Gordon Green,United States,2008,R,"Action & Adventure, Comedies","After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them."
s348,Movie,Planet 51,Jorge Blanco,"Spain, United Kingdom, United States",2009,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."
s349,Movie,Poms,Zara Hayes,"United Kingdom, United States",2019,PG-13,Comedies,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
s350,Movie,Seabiscuit,Gary Ross,United States,2003,PG-13,"Dramas, Sports Movies",An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.
s351,Movie,Space Cowboys,Clint Eastwood,United States,2000,PG-13,"Action & Adventure, Dramas, Sci-Fi & Fantasy",A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.
s352,Movie,Team America: World Police,Trey Parker,"United States, Germany",2004,R,"Action & Adventure, Comedies, Cult Movies","In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,"United States, China",2016,R,"Comedies, Dramas",A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,United States,2013,R,Horror Movies,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.
s355,Movie,The Last Boy Scout,Tony Scott,United States,1991,R,"Action & Adventure, Comedies",Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.
s356,Movie,The Lincoln Lawyer,Brad Furman,United States,2011,R,"Dramas, Thrillers",A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.
s357,Movie,The Losers,Sylvain White,"United States, France",2010,PG-13,Action & Adventure,"After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score."
s358,Movie,The Machinist,Brad Anderson,"Spain, France, United Kingdom, United States",2004,R,"Dramas, Independent Movies, Thrillers","Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events."
s359,Movie,The Net,Irwin Winkler,United States,1995,PG-13,Thrillers,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name."
s360,Movie,The Original Kings of Comedy,Spike Lee,United States,2000,R,Stand-Up Comedy,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee."
s361,Movie,Valentine's Day,Garry Marshall,United States,2010,PG-13,"Comedies, Romantic Movies",The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.
s362,TV Show,Charmed,,United States,2021,TV-14,"TV Dramas, TV Sci-Fi & Fantasy","After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
s363,Movie,The Lost Café,Kenneth Gyang,,2018,TV-14,"Dramas, International Movies",An aspiring filmmaker grapples with her decision to study abroad in Norway when she meets an insightful but peculiar owner of a curious coffee shop.
s364,Movie,The Vault,Jaume Balagueró,,2021,R,"Action & Adventure, International Movies, Thrillers",A genius engineer and his crew of amateur thieves plot a scheme to seize a legendary lost treasure hidden in a fortress beneath the Bank of Spain.
s365,TV Show,Centaurworld,,,2021,TV-Y7,"Kids' TV, TV Comedies","On a quest to reunite with her trusty rider, a fearless war horse journeys through a whimsical world filled with magic, adventure and singing centaurs."
s366,Movie,Eyes of a Thief,Najwa Najjar,", France, Algeria",2014,TV-14,"Dramas, Independent Movies, International Movies","After a decade in prison, a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago."
s367,TV Show,Glow Up,,United Kingdom,2021,TV-14,"British TV Shows, International TV Shows, Reality TV","In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
s368,Movie,I'm Glad I Did,Selçuk Metin,,2020,TV-14,"Documentaries, International Movies",Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.
s369,TV Show,Khawatir,,,2009,TV-14,"International TV Shows, Reality TV",Saudi media personality Ahmad Al Shugairi travels around the world on a quest for knowledge in various cities while offering his personal reflections.
s370,TV Show,Myth & Mogul: John DeLorean,,,2021,TV-14,"British TV Shows, Crime TV Shows, Docuseries","In the automotive world, John DeLorean rose from engineer to executive to icon. But under the hood of his self-created legend lies darkness and deceit."
s371,TV Show,Outer Banks,,United States,2021,TV-MA,"TV Action & Adventure, TV Dramas, Teen TV Shows","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
s372,Movie,Pomegranates and Myrrh,Najwa Najjar,,2009,TV-14,"Dramas, Independent Movies, International Movies","After her husband is placed under Israeli detention, a Palestinian newlywed is left to deal with the fallout, resorting to her passion for Dabke to cope."
s373,Movie,Rurouni Kenshin: The Beginning,Keishi Otomo,,2021,TV-MA,"Action & Adventure, International Movies","Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets the gentle Tomoe Yukishiro, his story begins to change."
s374,Movie,The Last Mercenary,David Charhon,,2021,TV-MA,"Action & Adventure, Comedies, International Movies",A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.
s375,Movie,Flower Girl,Michelle Bello,Nigeria,2013,TV-PG,"Comedies, International Movies, Romantic Movies","When a young florist who's long dreamed of her wedding day gets dumped by her boyfriend, she sets out to win him back with help from a handsome actor."
s376,Movie,Resort to Love,Steven Tsuchida,,2021,TV-14,"Comedies, Romantic Movies","Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort — where her ex-fiancé happens to be getting married."
s377,TV Show,Transformers: War for Cybertron: Kingdom,,,2021,TV-Y7,Anime Series,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.
s378,Movie,Bartkowiak,Daniel Markowicz,Poland,2021,TV-MA,"Action & Adventure, International Movies","After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident."
s379,Movie,Fantastic Fungi,Louie Schwartzberg,United States,2019,TV-14,Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
s380,TV Show,Tattoo Redo,,,2021,TV-MA,Reality TV,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones."
s381,TV Show,The Flash,Glen Winter,United States,2021,TV-14,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
s382,TV Show,The Snitch Cartel: Origins,,,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Over four decades, two brothers in Cali juggle family duties, multiple romances and illegal businesses, transforming from poor kids to cocaine kingpins."
s383,TV Show,All American,,United States,2021,TV-14,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.
s384,Movie,Department,Ram Gopal Varma,India,2012,TV-MA,"Action & Adventure, International Movies","Two cops form a task force to take down two mobsters, but when a sinister politician enters the picture, dubious loyalties and motives come to light."
s385,Movie,Hostage House,David Benullo,,2021,TV-14,Thrillers,"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
s386,TV Show,How to Sell Drugs Online (Fast),,Germany,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Comedies","To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers."
s387,TV Show,Mighty Express,,"United States, Canada",2021,TV-Y,Kids' TV,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!
s388,Movie,Mimi,Laxman Utekar,,2021,TV-14,"Comedies, Dramas, International Movies","An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns."
s389,TV Show,Plastic Cup Boyz: Laughing My Mask Off!,"Royale Watkins, Rich Schlansker",,2021,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedy collective The Plastic Cup Boyz pour out the punchlines in Atlanta during a trio of raw and lively stand-up specials.
s390,Movie,The Operative,Yuval Adler,"France, Israel, Germany, United States, United Kingdom",2019,TV-MA,"Dramas, International Movies, Thrillers","Working as a Mossad spy assigned to Tehran, Rachel reaches her breaking point. Now it’s dangerously hard to tell whose side she’s on."
s391,TV Show,The Walking Dead,,United States,2019,TV-MA,"Classic & Cult TV, TV Action & Adventure, TV Dramas","In the wake of a zombie apocalypse, survivors hold on to the hope of humanity by banding together to wage a fight for their own survival."
s392,TV Show,Wynonna Earp,,"Canada, United States",2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.
s393,Movie,Django Unchained,Quentin Tarantino,United States,2012,R,"Action & Adventure, Dramas","Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner."
s394,Movie,A Second Chance:  Rivals!,Clay Glen,Australia,2021,PG,"Children & Family Movies, Sports Movies","Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team."
s395,Movie,African America,Muzi Mthembu,,2021,TV-MA,"Dramas, Independent Movies, International Movies",A disgruntled South African woman leaves her fiancé and embezzles money from her job to pursue her dream of being a Broadway star in New York City.
